time, x0, y0, z0, x1, y1, z1 
0.14400, -0.45839, 0.96807, 2.76243, 0.41246, -0.20864, 0.93390  
0.14500, -0.56099, 0.53244, 2.36601, 0.31307, -0.25698, 0.95650  
0.14600, -0.97752, 0.06172, 2.16911, 0.29894, -0.21376, 0.98133  
0.14700, -0.62441, 0.12964, 1.76218, 0.27641, -0.19663, 0.98276  
0.14800, -0.60555, 0.24837, 1.45176, 0.33350, -0.15411, 0.97551  
0.14900, -0.57281, -0.29179, 1.25120, 0.28927, -0.19928, 1.00760  
0.15000, -0.16106, -0.60896, 0.88385, 0.29520, -0.17145, 1.01061  
0.15100, -0.43489, -0.45902, 0.52198, 0.39747, -0.15108, 1.06533  
0.15200, -0.18372, -0.48832, 0.12251, 0.28513, -0.14900, 1.05247  
0.15300, -0.12510, -0.87137, -0.15400, 0.34243, -0.05993, 1.09552  
0.15400, -0.37901, -0.87137, -0.31240, 0.41639, -0.08192, 1.06802  
0.15500, -0.11305, -0.80818, -0.62206, 0.32192, -0.15610, 1.03336  
0.15600, -0.05575, -0.89973, -0.95314, 0.39476, -0.01392, 1.15513  
0.15700, -0.13273, -0.91919, -1.28534, 0.40808, -0.10050, 1.11280  
0.15800, -0.06792, -1.03022, -1.53851, 0.37693, -0.08718, 1.12965  
0.15900, -0.51218, -1.12318, -1.67805, 0.41670, -0.02819, 1.16951  
0.16000, 0.16922, -1.18944, -1.95940, 0.33066, -0.02613, 1.16756  
0.16100, 0.24839, -1.41722, -1.99911, 0.39743, 0.03489, 1.28080  
0.16200, 0.08421, -0.77930, -2.15565, 0.43705, -0.01829, 1.16941  
0.16300, 0.12440, -1.15015, -2.03648, 0.42736, -0.01286, 1.25389  
0.16400, 0.22842, -1.38344, -1.88765, 0.41389, 0.03798, 1.19671  
0.16500, 0.18764, -0.96382, -1.82529, 0.47949, 0.01177, 1.24250  
0.16600, 0.25755, -0.90860, -1.71499, 0.43417, 0.00187, 1.26036  
0.16700, 0.15345, -1.06661, -1.63128, 0.43627, 0.01982, 1.22826  
0.16800, 0.21221, -1.22345, -1.46313, 0.45208, 0.00898, 1.24798  
0.16900, 0.05386, -0.99873, -1.27747, 0.42189, 0.03965, 1.27298  
0.17000, 0.07225, -0.85941, -1.17846, 0.45996, 0.04774, 1.26781  
0.17100, -0.07553, -1.10338, -0.74207, 0.43909, 0.04120, 1.28601  
0.17200, 0.02617, -1.01427, -0.48117, 0.44289, 0.02113, 1.26101  
0.17300, -0.09098, -0.92934, -0.25690, 0.44437, 0.05613, 1.26720  
0.17400, -0.10780, -0.98074, 0.00050, 0.49814, 0.05676, 1.27354  
0.17500, -0.17023, -0.96409, 0.21286, 0.43995, 0.06968, 1.26926  
0.17600, -0.36800, -0.83082, 0.47476, 0.42187, 0.07042, 1.35729  
0.17700, -0.30561, -0.91961, 0.73051, 0.42574, 0.03729, 1.26963  
0.17800, -0.30907, -0.92541, 1.05591, 0.46261, 0.04360, 1.29349  
0.17900, -0.37840, -0.75359, 1.27312, 0.43674, 0.01158, 1.28969  
0.18000, -0.32881, -0.68253, 1.43511, 0.35849, 0.04004, 1.31031  
0.18100, -0.50741, -0.79618, 1.59185, 0.44626, 0.04234, 1.30497  
0.18200, -0.53268, -0.75434, 1.64721, 0.42635, 0.05007, 1.32460  
0.18300, -0.63938, -0.42439, 1.80813, 0.37140, -0.00950, 1.31615  
0.18400, -0.52759, -0.44260, 1.91034, 0.37773, 0.00669, 1.31216  
0.18500, -0.69849, -0.44121, 2.12425, 0.43005, 0.02985, 1.35414  
0.18600, -0.49482, -0.27786, 2.14476, 0.35955, 0.03408, 1.32540  
0.18700, -0.57192, -0.18417, 2.20293, 0.42553, 0.02234, 1.32189  
0.18800, -0.62799, -0.18057, 2.29660, 0.43171, 0.06205, 1.32992  
0.18900, -0.61890, -0.06437, 2.25317, 0.38816, 0.07402, 1.35448  
0.19000, -0.68100, 0.07788, 2.21382, 0.41067, 0.06975, 1.30337  
0.19100, -0.66843, 0.08661, 2.17415, 0.34088, 0.06977, 1.31813  
0.19200, -0.68684, 0.01751, 2.14407, 0.36974, 0.06071, 1.33959  
0.19300, -0.71278, 0.08823, 2.11899, 0.37476, 0.10698, 1.36400  
0.19400, -0.57175, 0.17885, 2.05141, 0.27378, 0.05585, 1.29854  
0.19500, -0.64817, 0.11776, 2.02497, 0.42519, 0.08904, 1.37774  
0.19600, -0.66664, 0.00017, 1.93682, 0.30611, 0.09096, 1.32948  
0.19700, -0.63740, 0.07460, 1.80882, 0.41704, 0.11988, 1.39452  
0.19800, -0.62269, 0.11200, 1.70938, 0.34559, 0.05728, 1.35696  
0.19900, -0.62744, 0.02239, 1.63694, 0.31862, 0.06001, 1.29450  
0.20000, -0.56444, -0.08245, 1.52842, 0.33869, 0.08917, 1.35326  
0.20100, -0.63982, -0.04116, 1.42677, 0.33890, 0.08026, 1.34218  
0.20200, -0.54625, -0.07324, 1.33181, 0.28652, 0.04086, 1.30449  
0.20300, -0.53728, -0.14612, 1.33257, 0.36379, 0.06104, 1.34102  
0.20400, -0.55300, -0.16592, 1.26560, 0.34897, 0.09888, 1.37556  
0.20500, -0.65720, -0.34914, 1.30440, 0.31797, 0.07057, 1.32675  
0.20600, -0.51939, -0.38910, 1.22742, 0.23968, 0.04707, 1.38655  
0.20700, -0.45324, -0.26459, 1.15538, 0.33115, 0.08072, 1.26678  
0.20800, -0.58599, -0.24752, 1.08444, 0.31448, 0.03582, 1.33692  
0.20900, -0.45715, -0.44090, 0.98099, 0.33453, 0.04288, 1.31260  
0.21000, -0.65344, -0.39040, 0.99669, 0.37804, 0.06615, 1.34708  
0.21100, -0.51453, -0.27239, 0.93410, 0.33308, 0.07534, 1.36938  
0.21200, -0.60873, -0.34903, 1.01746, 0.35975, 0.05459, 1.30684  
0.21300, -0.45677, -0.47220, 1.00853, 0.33087, 0.05623, 1.38700  
0.21400, -0.59534, -0.19402, 1.02016, 0.33978, 0.07244, 1.38041  
0.21500, -0.48515, -0.07622, 0.94152, 0.38374, 0.05350, 1.38746  
0.21600, -0.43642, -0.24225, 1.04815, 0.39381, 0.04017, 1.34380  
0.21700, -0.49824, -0.29501, 1.12022, 0.39062, 0.03355, 1.36940  
0.21800, -0.52797, -0.11177, 1.13810, 0.37048, 0.06731, 1.38927  
0.21900, -0.50825, 0.03151, 1.11197, 0.38233, 0.05836, 1.42090  
0.22000, -0.44558, -0.04196, 1.17624, 0.48779, 0.05728, 1.38945  
0.22100, -0.57005, -0.14843, 1.28613, 0.38946, 0.06016, 1.37592  
0.22200, -0.50661, 0.10809, 1.25254, 0.39400, 0.06575, 1.42572  
0.22300, -0.58733, 0.23241, 1.29814, 0.41725, 0.06508, 1.41670  
0.22400, -0.53360, 0.06556, 1.33795, 0.40644, 0.01921, 1.40326  
0.22500, -0.57772, 0.05133, 1.42185, 0.41649, 0.01717, 1.42763  
0.22600, -0.63480, 0.25219, 1.39570, 0.39101, 0.03357, 1.43959  
0.22700, -0.59650, 0.24748, 1.45502, 0.37874, 0.04026, 1.47074  
0.22800, -0.65443, 0.23842, 1.50312, 0.38918, -0.00072, 1.39439  
0.22900, -0.53904, 0.31702, 1.48239, 0.36461, 0.02272, 1.44703  
0.23000, -0.55874, 0.38197, 1.49387, 0.32995, 0.01898, 1.43656  
0.23100, -0.57306, 0.34437, 1.49540, 0.44609, 0.01730, 1.38407  
0.23200, -0.62273, 0.43148, 1.48697, 0.35316, -0.00460, 1.42202  
0.23300, -0.57449, 0.48458, 1.45256, 0.37527, -0.00393, 1.43089  
0.23400, -0.62679, 0.47985, 1.47427, 0.42000, 0.01413, 1.46904  
0.23500, -0.60251, 0.49021, 1.46988, 0.37365, 0.00645, 1.47537  
0.23600, -0.53692, 0.50867, 1.44453, 0.40728, 0.03277, 1.46500  
0.23700, -0.67728, 0.51044, 1.45390, 0.33590, 0.06664, 1.44800  
0.23800, -0.61810, 0.47382, 1.42855, 0.34672, 0.04232, 1.48163  
0.23900, -0.67415, 0.49065, 1.44701, 0.37905, 0.02626, 1.50234  
0.24000, -0.62449, 0.51771, 1.34069, 0.34250, 0.04927, 1.45206  
0.24100, -0.65342, 0.54110, 1.38517, 0.34321, 0.00834, 1.42391  
0.24200, -0.66734, 0.37710, 1.40436, 0.32400, 0.04824, 1.44047  
0.24300, -0.56349, 0.37014, 1.38988, 0.32784, 0.01120, 1.44770  
0.24400, -0.66175, 0.43365, 1.36393, 0.36093, 0.01240, 1.44505  
0.24500, -0.61796, 0.28049, 1.32282, 0.29739, 0.04084, 1.41169  
0.24600, -0.70913, 0.24498, 1.32215, 0.33506, 0.04366, 1.44426  
0.24700, -0.65653, 0.25089, 1.24069, 0.27447, 0.04337, 1.46652  
0.24800, -0.64611, 0.23794, 1.21563, 0.30676, 0.03611, 1.47779  
0.24900, -0.65350, 0.05198, 1.24359, 0.32803, 0.07763, 1.47617  
0.25000, -0.71249, 0.00031, 1.23058, 0.27983, 0.06437, 1.44487  
0.25100, -0.67249, 0.06533, 1.22625, 0.26714, 0.09836, 1.45607  
0.25200, -0.53936, -0.06079, 1.15931, 0.28481, 0.07288, 1.40625  
0.25300, -0.64054, -0.19930, 1.13691, 0.25694, 0.09594, 1.43644  
0.25400, -0.64999, -0.17572, 1.10100, 0.29476, 0.07401, 1.45615  
0.25500, -0.57777, -0.24593, 1.11217, 0.31466, 0.11993, 1.44066  
0.25600, -0.60955, -0.36209, 1.13573, 0.23964, 0.08867, 1.43442  
0.25700, -0.72565, -0.40953, 1.19246, 0.30973, 0.14357, 1.47717  
0.25800, -0.53436, -0.34760, 1.05614, 0.24429, 0.12064, 1.38332  
0.25900, -0.76601, -0.31113, 1.10279, 0.24948, 0.17996, 1.45735  
0.26000, -0.58046, -0.43711, 1.07298, 0.25116, 0.11757, 1.42859  
0.26100, -0.67720, -0.53326, 1.12728, 0.13895, 0.09619, 1.40179  
