time, x0, y0, z0, x1, y1, z1 
0.08131, -0.00809, -0.82193, 0.55098, 0.00000, 0.00000, -nan  
0.08173, -0.00595, -0.82069, 0.55046, 0.00000, 0.00000, -nan  
0.08224, -0.00599, -0.82226, 0.55019, 0.00000, 0.00000, -nan  
0.08270, -0.00746, -0.82453, 0.54731, 0.00000, 0.00000, -nan  
0.08323, -0.00830, -0.82464, 0.54676, 0.00000, 0.00000, -nan  
0.08371, -0.00994, -0.82249, 0.54718, 0.00000, 0.00000, -nan  
0.08427, -0.00975, -0.82067, 0.54958, 0.00000, 0.00000, -nan  
0.08473, -0.01057, -0.82249, 0.55012, 0.00000, 0.00000, -nan  
0.08528, -0.00969, -0.82264, 0.55027, 0.00000, 0.00000, -nan  
0.08575, -0.00978, -0.82676, 0.55172, 0.00000, 0.00000, -nan  
0.08622, -0.01045, -0.82567, 0.55214, 0.00000, 0.00000, -nan  
0.08672, -0.00750, -0.82081, 0.54831, 0.00000, 0.00000, -nan  
0.08722, -0.00729, -0.82361, 0.54836, 0.00000, 0.00000, -nan  
0.08772, -0.00940, -0.82396, 0.55016, 0.00000, 0.00000, -nan  
0.08820, -0.00637, -0.81968, 0.54821, 0.00000, 0.00000, -nan  
0.08865, -0.00578, -0.82451, 0.54924, 0.00000, 0.00000, -nan  
0.08926, -0.00488, -0.82693, 0.54911, 0.00000, 0.00000, -nan  
0.08973, -0.00761, -0.82294, 0.54802, 0.00000, 0.00000, -nan  
0.09013, -0.00956, -0.82266, 0.54716, 0.00000, 0.00000, -nan  
0.09061, -0.00620, -0.82438, 0.55025, 0.00000, 0.00000, -nan  
0.09114, -0.01030, -0.82270, 0.55019, 0.00000, 0.00000, -nan  
0.09161, -0.00635, -0.82409, 0.55010, 0.00000, 0.00000, -nan  
0.09209, -0.00736, -0.82329, 0.54798, 0.00000, 0.00000, -nan  
0.09263, -0.00992, -0.82401, 0.54859, 0.00000, 0.00000, -nan  
0.09312, -0.00866, -0.82479, 0.54907, 0.00000, 0.00000, -nan  
0.09363, -0.00551, -0.82382, 0.54855, 0.00000, 0.00000, -nan  
0.09409, -0.00540, -0.82285, 0.54806, 0.00000, 0.00000, -nan  
0.09460, -0.00813, -0.82514, 0.54863, 0.00000, 0.00000, -nan  
0.09507, -0.00532, -0.82350, 0.54905, 0.00000, 0.00000, -nan  
0.09560, -0.00374, -0.82325, 0.54565, 0.00000, 0.00000, -nan  
0.09606, -0.00483, -0.82462, 0.54804, 0.00000, 0.00000, -nan  
0.09657, -0.00504, -0.82315, 0.54836, 0.00000, 0.00000, -nan  
0.09708, -0.00883, -0.82382, 0.54678, 0.00000, 0.00000, -nan  
0.09756, -0.00694, -0.82418, 0.54720, 0.00000, 0.00000, -nan  
0.09809, -0.00813, -0.82342, 0.54939, 0.00000, 0.00000, -nan  
0.09855, -0.00511, -0.82113, 0.54657, 0.00000, 0.00000, -nan  
0.09908, -0.00879, -0.82489, 0.54712, 0.00000, 0.00000, -nan  
0.09956, -0.00637, -0.82310, 0.54964, 0.00000, 0.00000, -nan  
0.10003, -0.00608, -0.82233, 0.54907, 0.00000, 0.00000, -nan  
0.10056, -0.00723, -0.82520, 0.54916, 0.00000, 0.00000, -nan  
0.10104, -0.00731, -0.82539, 0.55071, 0.00000, 0.00000, -nan  
0.10151, -0.00648, -0.82623, 0.54871, 0.00000, 0.00000, -nan  
0.10205, -0.00593, -0.82363, 0.55012, 0.00000, 0.00000, -nan  
0.10252, -0.00710, -0.82438, 0.54926, 0.00000, 0.00000, -nan  
0.10302, -0.00961, -0.82584, 0.54892, 0.00000, 0.00000, -nan  
0.10350, -0.00547, -0.82216, 0.55054, 0.00000, 0.00000, -nan  
0.10403, -0.00595, -0.82029, 0.54815, 0.00000, 0.00000, -nan  
0.10500, -0.00687, -0.82298, 0.54754, 0.00000, 0.00000, -nan  
0.10599, -0.00597, -0.82085, 0.54935, 0.00000, 0.00000, -nan  
0.10698, -0.00710, -0.82418, 0.55128, 0.00000, 0.00000, -nan  
0.10750, -0.00727, -0.82253, 0.55073, 0.00000, 0.00000, -nan  
0.10797, -0.00904, -0.81989, 0.54976, 0.00000, 0.00000, -nan  
0.10896, -0.00513, -0.82243, 0.54976, 0.00000, 0.00000, -nan  
0.10944, -0.00677, -0.82264, 0.54989, 0.00000, 0.00000, -nan  
0.10997, -0.00645, -0.82306, 0.54928, 0.00000, 0.00000, -nan  
0.11046, -0.00744, -0.82354, 0.54838, 0.00000, 0.00000, -nan  
0.11093, -0.00813, -0.82272, 0.54865, 0.00000, 0.00000, -nan  
0.11146, -0.00820, -0.82222, 0.54813, 0.00000, 0.00000, -nan  
0.11193, -0.00818, -0.82180, 0.55058, 0.00000, 0.00000, -nan  
0.11245, -0.00280, -0.82375, 0.55311, 0.00000, 0.00000, -nan  
0.11294, -0.00744, -0.82195, 0.55014, 0.00000, 0.00000, -nan  
0.11344, -0.00980, -0.82094, 0.54804, 0.00000, 0.00000, -nan  
0.11390, -0.00589, -0.81940, 0.54804, 0.00000, 0.00000, -nan  
0.11443, -0.00416, -0.82138, 0.54911, 0.00000, 0.00000, -nan  
0.11493, -0.00755, -0.82142, 0.55069, 0.00000, 0.00000, -nan  
0.11541, -0.00463, -0.82272, 0.55206, 0.00000, 0.00000, -nan  
0.11592, -0.00641, -0.82211, 0.54810, 0.00000, 0.00000, -nan  
0.11690, -0.00906, -0.82430, 0.55143, 0.00000, 0.00000, -nan  
0.11740, -0.00828, -0.82298, 0.55061, 0.00000, 0.00000, -nan  
0.11790, -0.00898, -0.82273, 0.54943, 0.00000, 0.00000, -nan  
0.11839, -0.00864, -0.82094, 0.55006, 0.00000, 0.00000, -nan  
0.11886, -0.00727, -0.81955, 0.55092, 0.00000, 0.00000, -nan  
0.11935, -0.00736, -0.82088, 0.55185, 0.00000, 0.00000, -nan  
0.11985, -0.00502, -0.82062, 0.55008, 0.00000, 0.00000, -nan  
0.12034, -0.00393, -0.82331, 0.55361, 0.00000, 0.00000, -nan  
0.12085, -0.00589, -0.82203, 0.55033, 0.00000, 0.00000, -nan  
0.12138, -0.00620, -0.82159, 0.55265, 0.00000, 0.00000, -nan  
0.12185, -0.00799, -0.82205, 0.55252, 0.00000, 0.00000, -nan  
0.12236, -0.00622, -0.82014, 0.55048, 0.00000, 0.00000, -nan  
0.12286, -0.00954, -0.82121, 0.55227, 0.00000, 0.00000, -nan  
0.12383, -0.00889, -0.82069, 0.55201, 0.00000, 0.00000, -nan  
0.12433, -0.00591, -0.81903, 0.55376, 0.00000, 0.00000, -nan  
0.12483, -0.00704, -0.82024, 0.55143, 0.00000, 0.00000, -nan  
0.12530, -0.00864, -0.82127, 0.55370, 0.00000, 0.00000, -nan  
0.12582, -0.00872, -0.82325, 0.55147, 0.00000, 0.00000, -nan  
0.12628, -0.00767, -0.82237, 0.55164, 0.00000, 0.00000, -nan  
0.12683, -0.01036, -0.82069, 0.55159, 0.00000, 0.00000, -nan  
0.12731, -0.00765, -0.82142, 0.54880, 0.00000, 0.00000, -nan  
0.12778, -0.00389, -0.82134, 0.54926, 0.00000, 0.00000, -nan  
0.12830, -0.00406, -0.82275, 0.55212, 0.00000, 0.00000, -nan  
0.12880, -0.00759, -0.81999, 0.55237, 0.00000, 0.00000, -nan  
0.12979, -0.00643, -0.82174, 0.55099, 0.00000, 0.00000, -nan  
0.13025, -0.01001, -0.82207, 0.55214, 0.00000, 0.00000, -nan  
0.13080, -0.00933, -0.82218, 0.55246, 0.00000, 0.00000, -nan  
0.13129, -0.01055, -0.81985, 0.55191, 0.00000, 0.00000, -nan  
0.13176, -0.00860, -0.81934, 0.55086, 0.00000, 0.00000, -nan  
0.13224, -0.00784, -0.81938, 0.55357, 0.00000, 0.00000, -nan  
0.13277, -0.00641, -0.82155, 0.55061, 0.00000, 0.00000, -nan  
0.13330, -0.00851, -0.81968, 0.54972, 0.00000, 0.00000, -nan  
0.13389, -0.00610, -0.81888, 0.55162, 0.00000, 0.00000, -nan  
0.13431, -0.00517, -0.82094, 0.55351, 0.00000, 0.00000, -nan  
0.13483, -0.00687, -0.82129, 0.55254, 0.00000, 0.00000, -nan  
0.13531, -0.00753, -0.82235, 0.55405, 0.00000, 0.00000, -nan  
0.13599, -0.00793, -0.82006, 0.55260, 0.00000, 0.00000, -nan  
0.13638, -0.01362, -0.82310, 0.54918, 0.00000, 0.00000, -nan  
0.13685, -0.01211, -0.82170, 0.55174, 0.00000, 0.00000, -nan  
0.13738, -0.00656, -0.82094, 0.55359, 0.00000, 0.00000, -nan  
0.13768, -0.00380, -0.82367, 0.55424, 0.00000, 0.00000, -nan  
0.13820, -0.00418, -0.82260, 0.55164, 0.00000, 0.00000, -nan  
